answer,is_true
KBOKBPQcOBEGDPeDMeBNBOBCDPMR,1
KBOKBPQeDR,0
KBOKBPQeDMR,1
KBOKBPQcOBEDPQeBNBOBCDPMR^QeDRR,0
KBOKBPQcOBEDPQeBNBOBCDPMR^QeDMRR,1
KBOKBPQcOBEDPQeBNBOBCDPMR^QcBGGDeDM^eDMRR,0
KBOKBPQcOBEDPQeBNBOBCDPMR^QcOBGGDPQeDMR^QeDMRRR,1
KBOKBPQcOBEDPQeBNBOBCDPMR^QcOBGGDPQeDMR^QeDMRR,0
KBOKBPQcOBEDPQeBNBOBCDPMR^QcOBGGDPQeDMR^QeDMRRR,1
KBOKBPQcOBEDPQeBNBOBCDPMR^QcOBGGDPQeDMR^QeDMRRR,1
KBOKBPQcOBEDPQeBNBOBCDPMR^QeDMRR,1
KBOKBPQKBMaOHBGDMBEGBMCCBPQBNGBMReBMR,1
KBOKBPQeBOBPR,0
KBOKBPQeBOBPR,0
KBOKBPQHBGDMaOHBGDMBEKMBCCPQBCGBCDReBMR,0
KBOKBPQBGBOBPMeBMR,0
KBOKBPQHBGDMaOHBGDMBEBMBCCPQBCGBCDReBMR,0
KBOKBPQHBGDMaOHBGDMBEBMBCCPQBCGBCDMReBMR,1
KBOKBPQcOBEDPeBNBOBCDPM^eDMR,0
KBOKBPQHBGDMaOHBGDMBEBMBCCPQBNGBCDMReBMR,1
KBOKBPQHBGDMaOHBGDMBEGBMBCCPQBNGBMReBMR,1
KBOKBPQKBGDMcOBEDPaOBBGBMBEGDMCCBPBNGBMeBMR,1
KBOKBPQBGBNBOBCDPMeBMR,0
KBOKBPQKBGDMaOBGDLBGGBLBCCPQBGBNBMReBMR,0
KBOKBPQHBGDMaOHBGDMBEBMBCCPQBNGBCDMReBMR,1
KBOKBPQKBGDMHBMaOBGDLBGGBLBCCPQBGBNBMReBMR,0
KBOKBPQcOBGGDPeDMeBNBOBCDPMR,0
KBOKBPQKBGDMHBMaOBGDMBGGBMBCCPQBGBNBMReBMR,0
KBOKBPQcOBEDPeDM^eBNBOBCDPR,0
KBOKBPQcOBEDPeDM^eBNBOBCDPMR,0
KBOKBPQKBGDMHBMaOBGDMBGBMBCCPQBGBNBMReBMR,0
KBOKBPQKBGDMHBMaOBGDMBEBMBCCPQBGBNBMReBMR,0
KBOKBPQKBGDMHBMaOBGDMBEBCDMBCCPQBGBNBMReBMR,0
KBOKBPQHBGDMaOHBGDMBEGDMBCCPBGBNBMeBR,0
KBOKBPQHBGDMaOHBGDMBEGDMBCCPBGBNBMeBMR,1
KBOKBPQcOOBGGDPAAOBGGDPPeDM^eBNBOBCDPMR,0
KBOKBPQHBGDMaOHBGDMBEGBMBCCPBGBNBMeBMR,1
KBOKBPQHBGDMaOHBGDMBEGBMBCCPBGBNBMeBMR,1
KBOKBPQKBGDMaOKGBGDMBEBMBCCPQBGBNBMReBMR,0
KBOKBPQKBMHBGDMaOBGDMBEBMBCCPQBGBNBMReBMR,0
KBOKBPQKBMKBGDMaOBGDMBEBMBCCPQBGBNBMReBMR,0
KBOKBPQKBGDMaOBGDMBEBMBCCPQBGBNBMReBMR,0
KBOKBPQHBMaOBGDMBEGBMBCCPBGBNBMR,0
KBOKBPQBGBAMeBMR,0
KBOKBPQHBMaOBGDMBEGBMBCCPBGBNBMR,0
KBOKBPQKBMaOKBGDMBEGBMBCCPQBGBNBMReBR,0
KBOKBPQHBMaOBGDMBEGBMBCCPBGBNBMeBR,0
KBOKBPQKBMKBGDMaOKBGDMBEBMBCCPQBGBNBMReBMR,1
KBOKBPQHBMaOBGDMBEGBMBCCPBGBNBMeBMR,0
KBOKBPMQKBMaOKBGDMBEGBMBCCPQBGBNBMReBR,0
KBOKBPQKBMaOKBGDMBEGBMBCCPQBGBNBMReBR,0
KBOKBPQHBMaOBGDMBEGBMBCCPBGBNBMeBMR,0
KBOKBPQKBMKBGDMaOKBGDMBEGBMBCCPQBGBNBMReBMR,1
KBOKBPQKBMaOBGDMBEGBMBCCPBGBNBMeBMR,0
KBOKBPQKBMKBGDMaOKBGDMBEGBMBCCPQBGBNBMReBMR,1
KBOKBPQKBMHBMaOBGDMBEGBMBCCPBGBNBMeBMR,0
KBOKBPQKBMaOKBGDMBEGBMBCCPBGBNBMeBR,0
KBOKBPQHBMHBMaOBGDMBEGBMBCCPBGBNBMeBMR,0
KBOKBPQKBMKBMaOBGDMBEGBMBCCPBGBNBMeBMR,0
KBOKBPQKBGDMaOBBGDMBEBMBCCPQBGBNBMReBMR,0
KBOKBPQKBMaOKBGDMBEGBMBCCPQBGBNBMReBMR,1
KBOKBPQcOOBGGDPAAOBGGDPPeDM^HBaOHBGBLBGGDLBCGDPQBGBNBMReBMR,0
