answer,is_true
HBOZHNBPQHBGDMVOBSBTAGDPBCCMeBMR,1
,0
,0
,0
,0
,0
,0
,0
HBOZHNBPQeBOBPMR,0
HBOZHNBPQeBOBPMR,0
HBOZHNBPQHBGDMVOBAGDPQBCCMReOBPMR,1
HBOZHNBPQHBGDMVOBSBTAGDPQBCCMReOBPMR,1
HBOZHNBPQHBGDMVOBSBTAGDPQ,0
HBOZHNBPQHBGDMVOBSBTAGDPQBCCMReOBPMR,1
HBOZHNBPQHBGDMVOBSBTAGDPQBCCMReOBPMR,1
HBOZHNBPQHBGDMVOBSBTAGDPQBCCMReOBPMR,1
HBOZHNBPQefOBPCfOBSDTPR,0
HBOZHNBPQefOBPCfOBSDTPMR,1
HBOZHNBPQHBGDMaOHNBGBMNBMCCBPBCCMeBMR,0
HBOZHNBPQHBGDMaOZHNBGBMNBMCCBPBCCMeBMR,0
HBOZHNBPQHBGDMaOHBGDMBEBMBCCPQBCCMReBMR,1
HBOZHNBPQHBGDMaOZHNBGBMNBMCCBPBCCMeBMR,1
HBOZHNBPQHBGDMaOHBGDMBEfOBPCfOBSDTPMBCCPQBCCMReBMR,1
HBOZHNBPQHBGDMaOZHNBGBMNBMBCCPBCCMeBMR,1
HBOZHNBPQHBGDMHBGfOBPCfOBSDTPMaOHBGDMBEBMBCCPQBCCMReBMR,1
HBOZHNBPQHBGDMaOZHNBGBMNBMBCCPBCCMeBMR,1
HBOZHNBPQHBMBGfOBPMeBMR,1
HBOZHNBPQHBMBGfOBPMeBMR,1
HBOZHNBPQHBGDMBGfOBPMeBMR,1
HBOZHNBPQHBGDMHBGfOBPCfOBSDTPMVOBSBTAGDPQBCCMReBMR,0
HBOZHNBPQ,0
HBOZHNBPQHBGDMHBGfOBPCfOBSDTPMeAMR,0
HBOZHNBPQHBGDMHBGfOBPCfOBSDTPMeBOBPMR,0
HBOZHNBPQHBGDM,0
HBOZHNBPQHBGDM,0
HBOZHNBPQeBOBPMR,0
HBOZHNBPQeAOPMR,0
HBOZHNBPQefOBPMR,1
HBOZHNBPQefOBPCfOBSDTPMR,1
HBOZHNBPQefOBPCfONBPMR,1
HBOZHNBPQeBOBPMR,0
HBOZHNBPQeOfOBPCfONBPPMR,1
HBOZHNBPQeOfONBPPMR,1
HBOZHNBPQeOfOBPPMR,1
HBOZHNBPQeOfOBPPMR,1
HBOZHNBPQeOBOBPPMR,0
HBOZHNBPQHBGfOBPCfOBSDTPMeBMR,1
HBOZHNBPQeOBOBPPMR,0
HBOZHNBPQeBOBPMR,0
HBOZHNBPQeBOBPMR,0
HBOZHNBPQHBGDMHBGfOBPCfOBSDTPMaOBGDMBEBMBCCPQBCCMReBMR,0
HBOZHNBPQHBGDMHBGfOBPCfOBSDTPMaOHBGDMBEBMBCCPQBCCMReBMR,1
HBOZHNBPQHBGDMVOBSBTAGDPQBCCMReBMR,1
HBOZHNBPQHBGDMVOBAGDPQ,0
HBOZHNBPQHBGDMVOBAGDPQBCCMReBMR,1
HBOZHNBPQHBMBGDMVOBSBTAGDPCCBMeBMR,1
HBOZHNBPQR,1
HBOZHNBPQHBGDMVOBEBSBTPQBCCMReBMR,1
HBOZHNBPQZHNBGOZHNPBOfOZHPNBPMR,0
HBOZHNBPQHBGDMZHNBGOZHNPBOfOZHPNBPMR,0
HBOZHNBPQHBGDMVOBEBSBTPQBCCMReBMR,1
HBOZHNBPQeBOBPMR,0
HBOZHNBPQeBOBPMR,0
HBOZHNBPQHBGDMHBGDM]QcOBSBTGGHPQBCCMRRVOBPeBMR,0
HBOZHNBPQeAOPMR,0
HBOZHNBPQeAOPMR,0
HBOZHNBPQeAMR,0
HBOZHNBPQeAMR,0
HBOZHNBPQHBGDMVOBSBTAGDPQBCCMReBMR,1
HBOZHNBPQHBGDMVOBAGBPQBCCMReBMR,0
HBOZHNBPQHBGDMVOBSBTAGDPBCCMeBMR,1
HBOZHNBPQHBGDMVOBAGBPQBCCMReBMR,0
HBOZHNBPQHBGDMVOBAGDPQBCCMReBMR,1
HBOZHNBPQHBGDMVOBSBTAGDPQBCCMReBMR,1
HBOZHNBPQeBSDTMR,1
