answer,is_true
HBOHBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBMR,0
HBOHBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBMR,0
HBOHBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBMR,0
HBOHNBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBMR,1
HBOHNBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBMR,1
HBOHNBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBMR,1
HBOHNBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBMR,1
HBOHBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBMR,0
HBOHNBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBMR,1
HBOHNBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHNBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHNBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHNBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,0
HBOHBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,0
HBOHSTBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,0
HBOHNBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHNBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHNBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHNBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHNBLHBPQHBGAMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,0
HBOHNBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHNBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,0
HBOHBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,0
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,0
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,0
HBOHBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,0
HBOHBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,0
HBOHNBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMRBGBCBMeBMR,1
HBOHNBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHNBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHNBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReOHPBCBMR,1
HBOHNBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReOHPBCBMR,1
HBOHNBLHBPQHBGDMHBGDMaOHBGDMBEBMBCCPQBCGBSBTMRBGBCBMeBMR,1
HBOHNBLHBPQHBGDMHBGDMaOHBGDMBEBMBCCPQBCGBSBTMRBGBCBMeBMR,1
HBOHNBLHBPQHBGDMHBGDMaOHBGDMBEBMBCCPQBCGBSBTMRBGBCBMeBMR,1
HBOHNBLHBPQHBGDMHBGDMaOHBGDMBEBMBCCPQBCGBSBTMRBGBCBMeBMR,1
HBOHNBLHBPQHBGDMHBGDMaOHBGDMBEBMBCCPQBCGBSBTMRBGBCBMeBMR,1
HBOHNBLHBPQHBGDMHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHNBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,0
HBOHBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,0
HBOHBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,0
HBOHBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,0
HBOHNBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHNBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHNBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHNBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHNBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHNBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHNBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHNBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,0
HBOHBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,0
HBOHBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,0
HBOHBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,0
HBOHNBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,0
HBOHBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,0
HBOHBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,0
HBOHBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,0
HBOHBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,0
HBOHBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,0
HBOHBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,0
HBOHNBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,0
HBOHBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,0
HBOHBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBMReBCBMR,1
HBOHNBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHBLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,0
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,0
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
